RMSE,MSE,ME,MAPE,MPE,R2,Direct. Acc.
220.46059452671884,48602.87373907433,20.506411887373343,0.005545203185439429,0.001192657605828868,0.9998412370034803,0.5084980339403974
266.39425646318205,70965.89987657161,16.210670014156378,0.00671091299993934,0.0009668479692826494,0.9997681917911317,0.4900274213576159
308.0613429312359,94901.79100859653,30.794193593404028,0.007854265479119257,0.0018036710045957211,0.9996900118523349,0.5092999793046358
341.5658549003701,116667.23323382068,28.537912871919996,0.008703468973707844,0.001708235934160566,0.9996189239022097,0.4965205918874172
371.63675826863033,138113.88009641637,23.959493136479516,0.009455094083296008,0.0014704281358996012,0.999548879667358,0.49076469370860926
398.9424723554184,159155.09624905375,8.026535619146488,0.01015048128355707,0.0006023595450767961,0.9994801622926499,0.4900403559602649
425.3032854289616,180882.8845966688,-7.139262468768068,0.0108906785897807,-0.00021347300388919452,0.9994092051810215,0.4900403559602649
449.2644499981049,201838.5460320997,-10.056596137235967,0.01157363568173874,-0.0003597809191389644,0.9993407723345871,0.4950072433774834
471.5566066287621,222365.6332552331,-11.57039451536974,0.01224106278884079,-0.00041305589614413775,0.999273741353352,0.5001164114238411
492.60642193284514,242661.08692948025,-16.204021650240453,0.012859344295694934,-0.0006545513235288257,0.9992074697347078,0.490195571192053
513.270485192963,263446.59097021964,-25.48841784259386,0.013493810330619319,-0.0011514965183892013,0.9991396011522197,0.4900532905629139
532.9271832196363,284011.3826144158,-30.045266552705385,0.014092519638154022,-0.0013890659318147426,0.9990724573296673,0.4900662251655629
552.2799343438039,305013.1258787964,-33.883707367555104,0.014659664454344115,-0.0015934875885823727,0.9990038889769627,0.48921254139072845
570.4069987510921,325364.14422422845,-30.13012163829741,0.015166583070078959,-0.001354828569515647,0.9989374487138015,0.5092870447019867
587.8501845030879,345567.83942031447,-19.389280238064625,0.015626979751061414,-0.0007313871900888337,0.9988714920563513,0.5092611754966887
604.7627111430196,365737.9367890554,-16.20470837221495,0.016095624510503413,-0.0005474662206608414,0.9988056478549234,0.5060016556291391
621.6884163211532,386496.4869879036,-13.0402149300183,0.016557352459327088,-0.00035319853486558486,0.9987378852812924,0.5092870447019867
638.3945509697445,407547.60270786175,0.1571434580314402,0.017012370101050268,0.0004028518374992586,0.9986691694093761,0.5092741100993378
654.9595466655816,428972.0077683842,0.12208652916781632,0.01748841470065085,0.0004220713453673127,0.998599237395386,0.5031301738410596
671.9066071202225,451458.48869180895,9.292024581138108,0.017946497170924027,0.0009400544078274725,0.9985258409831785,0.5092741100993378
688.5230142199346,474063.9411105042,11.355451161240463,0.018426788332946722,0.001079112756495843,0.9984520584842296,0.5054842715231788
704.5141424701868,496340.1769405027,15.853760239391198,0.01890128072085427,0.0013490086542750027,0.9983793533604006,0.5096233443708609
719.603632728923,517829.3882366627,10.827171400671043,0.01933269288560029,0.0010917153309544891,0.9983092190009017,0.49032491721854304
735.0043779840606,540231.4356557359,14.328393556814284,0.01977190974256352,0.001302045277118094,0.9982361069500612,0.5091706332781457
751.8414563483938,565265.5754840737,25.947056176461935,0.02026588651698801,0.001976082828854756,0.9981544042024074,0.5092611754966887
765.8486432674391,586524.1443945771,17.777556748696256,0.020657024898668143,0.001526417872626003,0.998085031337036,0.49009209437086093
781.1903488072395,610258.3610695766,22.184320979378917,0.021107232470001232,0.0018006526338247312,0.9980075787950937,0.5092482408940397
796.938046831127,635110.2504870116,36.18030175518014,0.021599403702589372,0.0025919931716707765,0.997926479877891,0.5091706332781457
811.318167589003,658237.1690599776,38.213064331955465,0.022031372182045865,0.0027217055375451755,0.9978510151152513,0.5092094370860927
824.9119155188309,680479.668364947,35.05981333883975,0.02242351769224368,0.0025547385612893843,0.9977784419326396,0.49009209437086093
837.6515742231388,701660.1597985027,25.293957045176477,0.02280175488574359,0.0020225380794472365,0.9977093390715911,0.4900791597682119
852.2008124149296,726246.2246806661,32.636261404177205,0.023269382899488253,0.002460556228291727,0.9976291214552067,0.5092482408940397
864.3183081614922,747046.1378231441,19.95253156309201,0.023627762729291377,0.001771849507323332,0.9975612657728259,0.4900791597682119
876.798656278772,768775.8836522602,15.903477778440728,0.02402573745548695,0.0015732801816314248,0.9974903788259195,0.4918123965231788
889.3965756819116,791026.2688347104,15.935908409956976,0.024436616066397455,0.0016036725707956842,0.9974177925898613,0.4984349130794702
901.6098705751028,812900.3587184537,14.177302175361755,0.02483533381436858,0.0015332897890536696,0.9973464379218101,0.4928600993377483
914.9091413949662,837058.7370080744,27.869270883722024,0.025275216114602383,0.002322681787766891,0.9972676302979298,0.5092482408940397
926.654183884385,858687.9765104357,22.49839486626785,0.02565934015226768,0.0020532681093594165,0.9971970802554668,0.4945027938741722
939.4389595845789,882545.5587853561,30.963434642708496,0.026081348061409375,0.002538910843201995,0.9971192607042956,0.5092611754966887
951.4239153121811,905207.4666279602,31.422327494888684,0.02646402116702352,0.0025861010722473153,0.9970453467267971,0.5050315604304636
963.8622707106471,929030.4768994848,37.59198325150142,0.026871408110175885,0.0029522435825748575,0.9969676460319933,0.5092482408940397
975.4709973504941,951543.6666719677,37.12016621519384,0.027232917878310076,0.002944618924379702,0.9968942240626582,0.5010994412251656
986.190342574078,972571.3917863774,30.884688542690682,0.027572784261758774,0.0026130876441242544,0.9968256542079159,0.4900532905629139
997.4302480981553,994867.0998211475,30.809671864203654,0.02794093200836183,0.002637473987470371,0.9967529509623858,0.5024317052980133
1008.7963032301506,1017669.9814108179,32.05216960158599,0.028297828004765293,0.002729226106412726,0.9966785961166593,0.5046435223509934
1020.3878744684646,1041191.4143622711,35.325370634384164,0.02867461559752936,0.0029396689293565994,0.9966018971968911,0.5073468543046358
1032.4008667798241,1065851.5497277323,46.54907932407067,0.029104711010115303,0.0035811274926415577,0.9965214854008048,0.5092611754966887
