RMSE,MSE,ME,MAPE,MPE,R2,Direct. Acc.
161.4183240619145,26055.875342957246,9.41802368505183,0.0034619636857982318,0.0004839567436206846,0.9999221888901902,0.5077668817925293
224.7571104605997,50515.75870259822,7.489720081118289,0.004814800959110624,0.00037236226069888354,0.9998491475614707,0.4982119408822954
273.85472406482893,74996.40989262359,12.514769626356184,0.005922009200816706,0.0005991827242867828,0.9997760475940856,0.5078506970636717
314.3867607862603,98839.03535767728,5.561506172140297,0.006826579603897139,0.00023274698111838037,0.9997048562438421,0.4925823485038974
351.4074232717798,123487.17713051182,19.28481066034866,0.007677901665795603,0.0008902907559412472,0.9996312630075491,0.5079484815466712
385.39750602702867,148531.23765185362,29.99520984028888,0.0084787052134529,0.001416793115516591,0.9995564910588461,0.5077808510043863
415.42361073276453,172576.77635424747,28.717385143479113,0.009175240437953572,0.0013632733592411513,0.999484704121508,0.49629815885787726
442.9998948815845,196248.9068650949,23.77830424896608,0.009816107507043119,0.001083082129991266,0.9994140353620611,0.4950409297907412
467.5168814659066,218572.03445560654,20.05243261801979,0.010408292242564218,0.0009091759095568467,0.9993473977927356,0.4917302265806163
491.17417950657847,241252.07461396055,23.821265045262862,0.011013303877024556,0.001094143621136001,0.9992796977443622,0.5078506970636717
514.9396675141182,265162.8611795506,35.091314379480124,0.011622152043358336,0.00164656058226871,0.9992083261310468,0.5078367278518146
538.032869449838,289479.3686084264,45.044382387615045,0.012217855620103359,0.002129819201515128,0.9991357463438201,0.5077808510043863
556.6003875200055,309803.99138742033,36.4293709959129,0.012663151220512653,0.0017317114217508325,0.9990750877403938,0.4918140418517587
577.2088232737987,333170.0256651233,36.95787421202032,0.013174690943966873,0.0017681110677339534,0.9990053520012382,0.5031570418796971
595.1374947807597,354188.63769391866,25.80273137087598,0.013610712693283677,0.0012451637691946718,0.9989426263197634,0.49175816500433045
613.4458500779039,376315.8109778021,18.99157416537297,0.01406260818811558,0.0009386272012818634,0.9988765934468802,0.4917861034280446
632.5647741353121,400138.1934768584,24.662428476691844,0.014525130481372814,0.0011728239917481176,0.9988055022122074,0.5060067610985388
650.3186844666909,422914.3913664875,23.90785586490915,0.014959145466884087,0.0011901733023729532,0.9987375363929096,0.4990221551700053
667.9669062686395,446179.7878700974,24.321504027551327,0.015404552651121357,0.0012394735828494118,0.9986681131204318,0.5026122426172716
685.7465820031451,470248.3747289963,23.237105038717022,0.015851205538088716,0.0011659983476711606,0.9985962956772895,0.49861704802615037
703.8858127895531,495455.2374464099,28.44357551149922,0.01629721423499424,0.0014365249874033956,0.9985210839418868,0.5077808510043863
721.7996576895052,520994.7458406869,35.97572509035138,0.016756383221485465,0.0018449654475535396,0.9984448823621661,0.5077808510043863
738.8992445630348,545972.0936158235,39.96785402867493,0.01719358727160536,0.002034162981038928,0.9983703623451949,0.5078926046992429
753.5229967849599,567796.9066837867,27.832422653714584,0.017551840066470988,0.001487525268770336,0.9983052546340683,0.4917861034280446
770.5122712162438,593689.1600948144,35.2105864614468,0.017988197528398357,0.0018786204169652198,0.9982280099353767,0.5079764199703852
787.1292487111016,619572.4541765032,37.43686651738479,0.018404437984201043,0.0019811568568394913,0.9981507953451314,0.5063001145475372
